252	The Perfect Storm	WB	$310,349,700	$182,618,434	2000
253	King Kong	Uni.	$309,338,700	$218,080,025	2005
254	The Matrix	WB	$309,204,000	$171,479,930	1999
255	The Amazing Spider-Man	Sony	$308,489,900	$262,030,663	2012
256	Tarzan	BV	$308,448,500	$171,091,819	1999
257	Sister Act	BV	$308,140,500	$139,605,150	1992
258	Hooper	WB	$305,333,300	$78,000,000	1978
259	The Blind Side	WB	$305,049,500	$255,959,475	2009
260	The Da Vinci Code	Sony	$304,218,500	$217,536,138	2006
261	Monsters University	BV	$304,115,900	$268,492,764	2013
262	All the President's Men	WB	$303,613,100	$70,600,000	1976
263	What Women Want	Par.	$303,101,600	$182,811,707	2000
264	The Bourne Ultimatum	Uni.	$302,853,900	$227,471,070	2007
265	Gravity	WB	$301,710,600	$274,092,705	2013
266	Honey, I Shrunk the Kids	BV	$301,620,500	$130,724,172	1989
267	Terms of Endearment	Par.	$301,167,100	$108,423,489	1983
268	Men in Black II	Sony	$300,212,800	$190,418,803	2002
269	Star Trek: The Motion Picture	Par.	$300,194,200	$82,258,456	1979
270	Wedding Crashers	NL	$299,030,300	$209,255,921	2005
271	Despicable Me	Uni.	$298,565,300	$251,513,985	2010
272	Pocahontas	BV	$298,131,200	$141,579,773	1995
273	Arthur	WB	$298,075,000	$95,461,682	1981
274	The Hunger Games: Mockingjay - Part 2	LGF	$296,798,600	$281,723,902	2015
275	The LEGO Movie	WB	$296,007,800	$257,760,692	2014
276	Batman Begins	WB	$295,216,000	$206,852,432	2005^
277	Apocalypse Now	MGM	$295,145,000	$83,471,511	1979^
278	Charlie and the Chocolate Factory	WB	$295,033,600	$206,459,076	2005
279	Big Daddy	Sony	$294,778,500	$163,479,795	1999
280	Deadpool 2	Fox	$294,562,309	2018	1999
281	Ocean's Eleven	WB	$293,804,700	$183,417,150	2001
282	Jurassic Park III	Uni.	$293,204,000	$181,171,875	2001
283	Teenage Mutant Ninja Turtles	NL	$292,916,300	$135,265,915	1990
284	Planet of the Apes (2001)	Fox	$291,312,200	$180,011,740	2001
285	Alien	Fox	$291,119,900	$80,931,801	1979^
286	Hancock	Sony	$290,806,100	$227,946,274	2008
287	As Good as It Gets	Sony	$290,142,600	$148,478,011	1997
288	The Hangover Part II	WB	$289,340,600	$254,464,305	2011
289	Midnight Cowboy	UA	$288,895,100	$44,785,053	1969
290	The Hobbit: The Desolation of Smaug	WB (NL)	$288,678,200	$258,366,855	2013
291	The French Connection	Fox	$287,013,300	$51,700,000	1971
292	The Flintstones	Uni.	$286,044,400	$130,531,208	1994
293	Captain America: The Winter Soldier	BV	$285,749,900	$259,766,572	2014
294	Coming to America	Par.	$285,614,400	$128,152,301	1988
295	National Treasure: Book of Secrets	BV	$285,540,500	$219,964,115	2007
296	WALL-E	BV	$285,525,700	$223,808,164	2008
297	The Hobbit: The Battle of the Five Armies	WB (NL)	$284,682,800	$255,119,788	2014
298	The Silence of the Lambs	Orion	$284,466,800	$130,742,922	1991
299	The Karate Kid Part II	Col.	$284,192,000	$115,103,979	1986
300	Airplane!	Par.	$284,176,400	$83,453,539	1980
